É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/08/01 18:38:50

,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹
1982/5/12,1,8,1,1,8,1,13.0,5,1,22.7,4,1,6.6,4,1,,0,,0,1,ìÏêº,5,1,0.1,5,1,,0,1,,0,1
1982/5/13,2,8,1,2,8,1,14.6,8,1,23.0,8,1,4.4,8,1,,0,,0,1,ìåñkìå,8,1,6.1,8,1,,0,1,,0,1
1982/5/14,15,8,1,3,8,1,10.4,8,1,15.4,8,1,7.0,8,1,,0,,0,1,ñkêº,8,1,0.0,8,1,,0,1,,0,1
1982/5/15,0,8,1,0,8,1,9.4,8,1,16.5,8,1,1.5,8,1,,0,,0,1,ìÏêº,8,1,11.0,8,1,,0,1,,0,1
1982/5/16,0,8,1,0,8,1,11.2,8,1,21.4,8,1,1.3,8,1,,0,,0,1,ìåñkìå,8,1,12.5,8,1,,0,1,,0,1
1982/5/17,0,8,1,0,8,1,13.1,8,1,23.1,8,1,4.6,8,1,,0,,0,1,ñkìå,8,1,12.0,8,1,,0,1,,0,1
1982/5/18,0,8,1,0,8,1,11.9,8,1,19.2,8,1,4.7,8,1,,0,,0,1,êº,8,1,7.2,8,1,,0,1,,0,1
1982/5/19,0,8,1,0,8,1,12.7,8,1,19.0,8,1,6.4,8,1,,0,,0,1,ñkìå,8,1,12.6,8,1,,0,1,,0,1
1982/5/20,45,8,1,8,8,1,9.9,8,1,13.2,8,1,5.5,8,1,,0,,0,1,ìå,8,1,1.5,8,1,,0,1,,0,1
1982/5/21,37,8,1,5,8,1,8.5,8,1,11.3,8,1,6.0,8,1,,0,,0,1,êº,8,1,1.0,8,1,,0,1,,0,1
1982/5/22,25,8,1,4,8,1,7.9,8,1,9.6,8,1,6.9,8,1,,0,,0,1,êº,8,1,2.5,8,1,,0,1,,0,1
1982/5/23,0,8,1,0,8,1,9.5,8,1,13.9,8,1,3.7,8,1,,0,,0,1,êºñkêº,8,1,12.2,8,1,,0,1,,0,1
1982/5/24,0,8,1,0,8,1,12.4,8,1,21.8,8,1,2.8,8,1,,0,,0,1,ìå,8,1,8.7,8,1,,0,1,,0,1
1982/5/25,0,8,1,0,8,1,15.6,8,1,23.9,8,1,7.2,8,1,,0,,0,1,ìåñkìå,8,1,10.0,8,1,,0,1,,0,1
1982/5/26,0,8,1,0,8,1,16.6,8,1,23.7,8,1,10.3,8,1,,0,,0,1,ìåñkìå,8,1,7.0,8,1,,0,1,,0,1
1982/5/27,1,8,1,1,8,1,15.8,4,1,21.6,4,1,13.3,4,1,,0,,0,1,ñkìå,4,1,2.1,4,1,,0,1,,0,1
1982/5/28,0,8,1,0,8,1,18.6,8,1,24.9,8,1,13.9,8,1,,0,,0,1,êºìÏêº,8,1,5.6,8,1,,0,1,,0,1
1982/5/29,0,8,1,0,8,1,13.5,8,1,16.0,8,1,11.7,8,1,,0,,0,1,ìåìÏìå,8,1,0.0,8,1,,0,1,,0,1
1982/5/30,2,8,1,1,8,1,13.5,8,1,17.0,8,1,11.6,8,1,,0,,0,1,ìå,8,1,0.2,8,1,,0,1,,0,1
1982/5/31,0,8,1,0,8,1,14.6,8,1,19.1,8,1,8.7,8,1,,0,,0,1,ìÏìå,8,1,6.6,8,1,,0,1,,0,1
1982/6/1,4,8,1,1,8,1,15.5,8,1,19.0,8,1,12.2,8,1,,0,,0,1,ìåñkìå,8,1,0.1,8,1,,0,1,,0,1
1982/6/2,31,8,1,11,8,1,15.0,8,1,16.4,8,1,13.0,8,1,,0,,0,1,ìå,8,1,0.0,8,1,,0,1,,0,1
1982/6/3,21,8,1,3,8,1,12.7,8,1,14.0,8,1,11.1,8,1,,0,,0,1,ñkìå,8,1,0.0,8,1,,0,1,,0,1
1982/6/4,0,8,1,0,8,1,14.0,8,1,19.3,8,1,9.1,8,1,,0,,0,1,ñkìå,8,1,6.9,8,1,,0,1,,0,1
1982/6/5,0,8,1,0,8,1,14.8,8,1,22.0,8,1,7.4,8,1,,0,,0,1,ñkìå,8,1,11.7,8,1,,0,1,,0,1
1982/6/6,0,8,1,0,8,1,14.6,8,1,23.0,8,1,6.1,8,1,,0,,0,1,ìåñkìå,8,1,9.8,8,1,,0,1,,0,1
1982/6/7,0,8,1,0,8,1,17.3,8,1,24.3,8,1,9.3,8,1,,0,,0,1,ìå,8,1,9.6,8,1,,0,1,,0,1
1982/6/8,0,8,1,0,8,1,16.8,8,1,23.0,8,1,10.7,8,1,,0,,0,1,ìåñkìå,8,1,8.9,8,1,,0,1,,0,1
1982/6/9,0,8,1,0,8,1,14.8,8,1,21.2,8,1,7.9,8,1,,0,,0,1,ñkñkêº,8,1,7.8,8,1,,0,1,,0,1
1982/6/10,0,8,1,0,8,1,15.8,8,1,24.9,8,1,5.9,8,1,,0,,0,1,ìå,8,1,11.6,8,1,,0,1,,0,1
1982/6/11,0,8,1,0,8,1,16.7,8,1,23.9,8,1,9.1,8,1,,0,,0,1,ñkìå,8,1,11.4,8,1,,0,1,,0,1
1982/6/12,0,8,1,0,8,1,17.6,8,1,27.0,8,1,7.5,8,1,,0,,0,1,ìå,8,1,11.6,8,1,,0,1,,0,1
1982/6/13,0,8,1,0,8,1,17.2,8,1,21.5,8,1,12.9,8,1,,0,,0,1,ñkñkêº,8,1,6.3,8,1,,0,1,,0,1
1982/6/14,12,8,1,2,8,1,12.2,8,1,13.1,8,1,11.6,8,1,,0,,0,1,ñkñkêº,8,1,0.0,8,1,,0,1,,0,1
1982/6/15,0,8,1,0,8,1,14.5,8,1,18.8,8,1,8.8,8,1,,0,,0,1,êº,8,1,11.5,8,1,,0,1,,0,1
1982/6/16,0,8,1,0,8,1,16.9,8,1,25.5,8,1,6.4,8,1,,0,,0,1,êºìÏêº,8,1,12.4,8,1,,0,1,,0,1
1982/6/17,0,8,1,0,8,1,17.3,8,1,26.4,8,1,8.3,8,1,,0,,0,1,ìåñkìå,8,1,11.5,8,1,,0,1,,0,1
1982/6/18,0,8,1,0,8,1,16.6,8,1,22.8,8,1,9.2,8,1,,0,,0,1,ìå,8,1,9.3,8,1,,0,1,,0,1
1982/6/19,0,8,1,0,8,1,16.8,8,1,22.5,8,1,10.6,8,1,,0,,0,1,ìå,8,1,5.2,8,1,,0,1,,0,1
1982/6/20,0,8,1,0,8,1,19.4,8,1,26.0,8,1,14.1,8,1,,0,,0,1,ìå,8,1,10.7,8,1,,0,1,,0,1
1982/6/21,0,8,1,0,8,1,18.2,8,1,25.6,8,1,12.2,8,1,,0,,0,1,ìåñkìå,8,1,9.3,8,1,,0,1,,0,1
1982/6/22,0,8,1,0,8,1,17.6,8,1,24.5,8,1,10.5,8,1,,0,,0,1,ìåñkìå,8,1,10.8,8,1,,0,1,,0,1
1982/6/23,0,8,1,0,8,1,17.4,8,1,26.4,8,1,10.1,8,1,,0,,0,1,ìåñkìå,8,1,8.5,8,1,,0,1,,0,1
1982/6/24,0,8,1,0,8,1,16.2,8,1,19.2,8,1,13.3,8,1,,0,,0,1,ìåìÏìå,8,1,0.1,8,1,,0,1,,0,1
1982/6/25,0,8,1,0,8,1,16.2,8,1,18.3,8,1,14.4,8,1,,0,,0,1,ìÏêº,8,1,0.1,8,1,,0,1,,0,1
1982/6/26,0,8,1,0,8,1,14.3,8,1,16.6,8,1,12.0,8,1,,0,,0,1,ìå,8,1,0.0,8,1,,0,1,,0,1
1982/6/27,56,8,1,6,8,1,11.1,8,1,11.9,8,1,10.2,8,1,,0,,0,1,ñkñkêº,8,1,0.0,8,1,,0,1,,0,1
1982/6/28,10,8,1,2,8,1,12.9,8,1,15.6,8,1,9.9,8,1,,0,,0,1,ñk,8,1,0.8,8,1,,0,1,,0,1
1982/6/29,0,8,1,0,8,1,14.6,8,1,18.2,8,1,11.2,8,1,,0,,0,1,êºñkêº,8,1,6.5,8,1,,0,1,,0,1
1982/6/30,0,8,1,0,8,1,15.0,8,1,18.8,8,1,11.2,8,1,,0,,0,1,ñk,8,1,4.5,8,1,,0,1,,0,1
1982/7/1,0,8,1,0,8,1,15.5,8,1,21.1,8,1,9.3,8,1,,0,,0,1,ìåñkìå,8,1,2.7,8,1,,0,1,,0,1
1982/7/2,0,8,1,0,8,1,14.6,8,1,21.3,8,1,7.3,8,1,,0,,0,1,ìåñkìå,8,1,11.7,8,1,,0,1,,0,1
1982/7/3,0,8,1,0,8,1,14.8,8,1,22.2,8,1,7.5,8,1,,0,,0,1,ìåñkìå,8,1,12.0,8,1,,0,1,,0,1
1982/7/4,0,8,1,0,8,1,16.6,8,1,23.7,8,1,8.4,8,1,,0,,0,1,ìåñkìå,8,1,11.8,8,1,,0,1,,0,1
1982/7/5,0,8,1,0,8,1,18.5,8,1,24.7,8,1,12.3,8,1,,0,,0,1,ìå,8,1,6.5,8,1,,0,1,,0,1
1982/7/6,0,8,1,0,8,1,19.6,8,1,26.3,8,1,13.1,8,1,,0,,0,1,ìå,8,1,4.8,8,1,,0,1,,0,1
1982/7/7,5,8,1,3,8,1,18.3,8,1,22.3,8,1,14.8,8,1,,0,,0,1,ñkìå,8,1,0.2,8,1,,0,1,,0,1
1982/7/8,0,8,1,0,8,1,18.7,8,1,25.5,8,1,12.4,8,1,,0,,0,1,ìåñkìå,8,1,11.7,8,1,,0,1,,0,1
1982/7/9,0,8,1,0,8,1,20.1,8,1,28.0,8,1,11.1,8,1,,0,,0,1,ñkìå,8,1,10.5,8,1,,0,1,,0,1
1982/7/10,1,8,1,1,8,1,20.4,8,1,25.1,8,1,15.0,8,1,,0,,0,1,ìÏ,8,1,7.0,8,1,,0,1,,0,1
1982/7/11,0,8,1,0,8,1,21.9,8,1,31.2,8,1,13.7,8,1,,0,,0,1,ìåñkìå,8,1,12.0,8,1,,0,1,,0,1
1982/7/12,23,8,1,9,8,1,19.9,8,1,24.3,8,1,16.3,8,1,,0,,0,1,êº,8,1,3.9,8,1,,0,1,,0,1
1982/7/13,0,8,1,0,8,1,18.2,8,1,24.5,8,1,10.5,8,1,,0,,0,1,ñkñkìå,8,1,11.8,8,1,,0,1,,0,1
1982/7/14,0,8,1,0,8,1,18.3,8,1,26.6,8,1,8.8,8,1,,0,,0,1,ìå,8,1,10.8,8,1,,0,1,,0,1
1982/7/15,0,8,1,0,8,1,17.6,8,1,24.9,8,1,11.0,8,1,,0,,0,1,ìåñkìå,8,1,10.2,8,1,,0,1,,0,1
1982/7/16,1,8,1,1,8,1,17.3,8,1,22.0,8,1,11.8,8,1,,0,,0,1,ìÏìå,8,1,6.6,8,1,,0,1,,0,1
1982/7/17,4,8,1,1,8,1,18.2,8,1,20.5,8,1,15.6,8,1,,0,,0,1,ìÏìÏêº,8,1,0.0,8,1,,0,1,,0,1
1982/7/18,0,8,1,0,8,1,20.0,8,1,24.6,8,1,16.2,8,1,,0,,0,1,ìå,8,1,4.7,8,1,,0,1,,0,1
1982/7/19,0,8,1,0,8,1,19.1,8,1,23.3,8,1,14.5,8,1,,0,,0,1,ñkìå,8,1,0.6,8,1,,0,1,,0,1
1982/7/20,0,8,1,0,8,1,19.8,8,1,25.5,8,1,15.2,8,1,,0,,0,1,ìåñkìå,8,1,5.3,8,1,,0,1,,0,1
1982/7/21,51,8,1,32,8,1,17.5,8,1,25.0,8,1,11.9,8,1,,0,,0,1,ìåñkìå,8,1,4.8,8,1,,0,1,,0,1
1982/7/22,1,8,1,1,8,1,18.6,8,1,23.0,8,1,14.2,8,1,,0,,0,1,ìÏ,8,1,4.8,8,1,,0,1,,0,1
1982/7/23,0,8,1,0,8,1,18.6,8,1,23.3,8,1,12.7,8,1,,0,,0,1,ìåñkìå,8,1,5.4,8,1,,0,1,,0,1
1982/7/24,0,8,1,0,8,1,20.4,8,1,26.3,8,1,15.3,8,1,,0,,0,1,ìåñkìå,8,1,7.2,8,1,,0,1,,0,1
1982/7/25,0,8,1,0,8,1,18.3,8,1,21.6,8,1,14.1,8,1,,0,,0,1,ìåñkìå,8,1,0.0,8,1,,0,1,,0,1
1982/7/26,4,8,1,2,8,1,18.9,8,1,20.7,8,1,16.7,8,1,,0,,0,1,ìå,8,1,0.0,8,1,,0,1,,0,1
1982/7/27,25,8,1,9,8,1,17.3,8,1,19.3,8,1,16.2,8,1,,0,,0,1,ñkìå,8,1,0.0,8,1,,0,1,,0,1
1982/7/28,4,8,1,1,8,1,18.9,8,1,22.3,8,1,16.1,8,1,,0,,0,1,ìå,8,1,0.7,8,1,,0,1,,0,1
1982/7/29,12,8,1,4,8,1,18.7,8,1,20.4,8,1,17.2,8,1,,0,,0,1,ìåñkìå,8,1,0.0,8,1,,0,1,,0,1
1982/7/30,1,8,1,1,8,1,20.0,8,1,23.4,8,1,17.4,8,1,,0,,0,1,ìå,8,1,2.1,8,1,,0,1,,0,1
1982/7/31,0,8,1,0,8,1,21.1,8,1,25.7,8,1,15.6,8,1,,0,,0,1,ìåñkìå,8,1,5.8,8,1,,0,1,,0,1
1982/8/1,0,8,1,0,8,1,21.6,8,1,24.6,8,1,18.7,8,1,,0,,0,1,ñkìå,8,1,0.0,8,1,,0,1,,0,1
1982/8/2,6,8,1,3,8,1,25.4,8,1,31.1,8,1,19.6,8,1,,0,,0,1,ìÏìÏêº,8,1,5.0,8,1,,0,1,,0,1
1982/8/3,4,8,1,2,8,1,20.8,8,1,23.5,8,1,18.8,8,1,,0,,0,1,ñkìå,8,1,0.1,8,1,,0,1,,0,1
1982/8/4,11,8,1,4,8,1,18.9,8,1,19.7,8,1,18.2,8,1,,0,,0,1,ìå,8,1,0.0,8,1,,0,1,,0,1
1982/8/5,0,8,1,0,8,1,20.2,8,1,24.6,8,1,15.9,8,1,,0,,0,1,ñkñkìå,8,1,3.7,8,1,,0,1,,0,1
1982/8/6,0,8,1,0,8,1,19.3,8,1,24.1,8,1,13.5,8,1,,0,,0,1,ñkìå,8,1,3.4,8,1,,0,1,,0,1
1982/8/7,0,8,1,0,8,1,21.2,8,1,25.1,8,1,17.4,8,1,,0,,0,1,ìåñkìå,8,1,4.6,8,1,,0,1,,0,1
1982/8/8,0,8,1,0,8,1,22.2,8,1,26.1,8,1,19.0,8,1,,0,,0,1,ñkñkìå,8,1,4.9,8,1,,0,1,,0,1
1982/8/9,8,8,1,7,8,1,21.9,8,1,26.6,8,1,18.8,8,1,,0,,0,1,ìÏêº,8,1,3.4,8,1,,0,1,,0,1
1982/8/10,0,8,1,0,8,1,21.5,8,1,27.0,8,1,17.1,8,1,,0,,0,1,ñkìå,8,1,6.7,8,1,,0,1,,0,1
1982/8/11,0,8,1,0,8,1,22.1,8,1,27.4,8,1,17.8,8,1,,0,,0,1,ñkìå,8,1,6.6,8,1,,0,1,,0,1
1982/8/12,0,8,1,0,8,1,19.5,8,1,23.3,8,1,16.3,8,1,,0,,0,1,ìå,8,1,3.3,8,1,,0,1,,0,1
1982/8/13,1,8,1,1,8,1,20.4,8,1,24.9,8,1,16.0,8,1,,0,,0,1,ìå,8,1,4.5,8,1,,0,1,,0,1
1982/8/14,0,8,1,0,8,1,22.3,8,1,27.1,8,1,17.9,8,1,,0,,0,1,ìåñkìå,8,1,6.1,8,1,,0,1,,0,1
1982/8/15,6,8,1,4,8,1,21.5,8,1,25.6,8,1,17.4,8,1,,0,,0,1,ìåñkìå,8,1,1.2,8,1,,0,1,,0,1
1982/8/16,0,8,1,0,8,1,21.7,8,1,26.7,8,1,18.2,8,1,,0,,0,1,ìåñkìå,8,1,3.6,8,1,,0,1,,0,1
1982/8/17,0,8,1,0,8,1,22.2,8,1,25.8,8,1,18.5,8,1,,0,,0,1,ìÏìå,8,1,1.7,8,1,,0,1,,0,1
1982/8/18,0,8,1,0,8,1,23.9,8,1,27.7,8,1,20.3,8,1,,0,,0,1,ìåñkìå,8,1,4.4,8,1,,0,1,,0,1
1982/8/19,0,8,1,0,8,1,23.1,8,1,28.7,8,1,17.4,8,1,,0,,0,1,ìåñkìå,8,1,8.0,8,1,,0,1,,0,1
1982/8/20,0,8,1,0,8,1,22.6,8,1,27.1,8,1,18.8,8,1,,0,,0,1,ñkñkêº,8,1,2.3,8,1,,0,1,,0,1
1982/8/21,1,8,1,1,8,1,22.6,8,1,26.9,8,1,19.5,8,1,,0,,0,1,ñk,8,1,2.6,8,1,,0,1,,0,1
1982/8/22,2,8,1,1,8,1,21.7,8,1,26.2,8,1,18.6,8,1,,0,,0,1,ìåñkìå,8,1,0.1,8,1,,0,1,,0,1
1982/8/23,1,8,1,1,8,1,21.2,8,1,23.1,8,1,20.0,8,1,,0,,0,1,ñkìå,8,1,0.1,8,1,,0,1,,0,1
1982/8/24,0,8,1,0,8,1,21.6,8,1,24.7,8,1,19.1,8,1,,0,,0,1,ìå,8,1,0.5,8,1,,0,1,,0,1
1982/8/25,0,8,1,0,8,1,21.1,8,1,25.0,8,1,18.9,8,1,,0,,0,1,ìå,8,1,2.4,8,1,,0,1,,0,1
1982/8/26,0,8,1,0,8,1,20.4,8,1,22.5,8,1,18.7,8,1,,0,,0,1,ìå,8,1,1.4,8,1,,0,1,,0,1
1982/8/27,0,8,1,0,8,1,23.3,8,1,27.3,8,1,18.3,8,1,,0,,0,1,ìåìÏìå,8,1,5.0,8,1,,0,1,,0,1
1982/8/28,0,8,1,0,8,1,25.7,8,1,29.1,8,1,22.7,8,1,,0,,0,1,ìÏêº,8,1,6.3,8,1,,0,1,,0,1
1982/8/29,0,8,1,0,8,1,24.7,8,1,28.6,8,1,21.0,8,1,,0,,0,1,ìÏêº,8,1,3.7,8,1,,0,1,,0,1
1982/8/30,27,8,1,16,8,1,22.5,8,1,26.6,8,1,20.6,8,1,,0,,0,1,ñkñkêº,8,1,1.6,8,1,,0,1,,0,1
1982/8/31,11,8,1,9,8,1,21.5,8,1,25.8,8,1,18.0,8,1,,0,,0,1,ìåìÏìå,8,1,2.3,8,1,,0,1,,0,1
1982/9/1,0,8,1,0,8,1,21.2,8,1,26.2,8,1,16.6,8,1,,0,,0,1,ñkñkìå,8,1,5.8,8,1,,0,1,,0,1
1982/9/2,0,8,1,0,8,1,20.4,8,1,25.9,8,1,16.6,8,1,,0,,0,1,ñkìå,8,1,5.9,8,1,,0,1,,0,1
1982/9/3,1,8,1,1,8,1,18.0,8,1,21.1,8,1,14.2,8,1,,0,,0,1,ìåñkìå,8,1,0.0,8,1,,0,1,,0,1
1982/9/4,0,8,1,0,8,1,17.0,8,1,22.4,8,1,11.4,8,1,,0,,0,1,ìå,8,1,6.4,8,1,,0,1,,0,1
1982/9/5,0,8,1,0,8,1,14.2,8,1,22.2,8,1,7.2,8,1,,0,,0,1,ìå,8,1,11.0,8,1,,0,1,,0,1
1982/9/6,0,8,1,0,8,1,14.5,8,1,20.0,8,1,7.5,8,1,,0,,0,1,ìåñkìå,8,1,4.8,8,1,,0,1,,0,1
1982/9/7,0,8,1,0,8,1,16.6,8,1,21.4,8,1,12.3,8,1,,0,,0,1,ìå,8,1,0.3,8,1,,0,1,,0,1
1982/9/8,0,8,1,0,8,1,17.9,8,1,24.4,8,1,10.7,8,1,,0,,0,1,ìåñkìå,8,1,6.0,8,1,,0,1,,0,1
1982/9/9,44,8,1,13,8,1,16.6,4,1,18.0,4,1,15.6,4,1,,0,,0,1,ñk,5,1,0.0,8,1,,0,1,,0,1
1982/9/10,6,8,1,2,8,1,17.0,8,1,19.2,8,1,15.6,8,1,,0,,0,1,ñkìå,8,1,0.3,8,1,,0,1,,0,1
1982/9/11,8,8,1,3,8,1,16.7,8,1,17.9,8,1,15.8,8,1,,0,,0,1,ñkìå,8,1,0.0,8,1,,0,1,,0,1
1982/9/12,108,8,1,27,8,1,15.6,8,1,16.9,8,1,14.5,8,1,,0,,0,1,ìÏìÏìå,8,1,0.0,8,1,,0,1,,0,1
1982/9/13,25,8,1,9,8,1,16.8,8,1,20.9,8,1,10.6,8,1,,0,,0,1,ñkêº,8,1,0.0,8,1,,0,1,,0,1
1982/9/14,0,8,1,0,8,1,14.3,8,1,19.2,8,1,9.7,8,1,,0,,0,1,ñkñkìå,8,1,3.6,8,1,,0,1,,0,1
1982/9/15,0,8,1,0,8,1,14.0,8,1,19.8,8,1,9.2,8,1,,0,,0,1,ìÏêº,8,1,4.9,8,1,,0,1,,0,1
1982/9/16,0,8,1,0,8,1,15.0,8,1,21.0,8,1,9.1,8,1,,0,,0,1,ñkìå,8,1,7.3,8,1,,0,1,,0,1
1982/9/17,0,8,1,0,8,1,14.7,8,1,21.7,8,1,9.2,8,1,,0,,0,1,ìåñkìå,8,1,9.0,8,1,,0,1,,0,1
1982/9/18,0,8,1,0,8,1,14.0,8,1,21.7,8,1,7.2,8,1,,0,,0,1,ìå,8,1,9.9,8,1,,0,1,,0,1
1982/9/19,0,8,1,0,8,1,14.5,8,1,19.5,8,1,9.6,8,1,,0,,0,1,ñkìå,8,1,1.5,8,1,,0,1,,0,1
1982/9/20,2,8,1,1,8,1,16.1,8,1,19.8,8,1,12.9,8,1,,0,,0,1,ñkìå,8,1,1.1,8,1,,0,1,,0,1
1982/9/21,7,8,1,3,8,1,16.5,8,1,21.7,8,1,14.1,8,1,,0,,0,1,êº,8,1,2.0,8,1,,0,1,,0,1
1982/9/22,1,8,1,1,8,1,14.9,8,1,18.6,8,1,10.4,8,1,,0,,0,1,êºñkêº,8,1,2.7,8,1,,0,1,,0,1
1982/9/23,0,8,1,0,8,1,13.2,8,1,17.1,8,1,9.1,8,1,,0,,0,1,ñkìå,8,1,0.0,8,1,,0,1,,0,1
1982/9/24,0,8,1,0,8,1,16.2,8,1,19.4,8,1,12.3,8,1,,0,,0,1,ìå,8,1,1.0,8,1,,0,1,,0,1
1982/9/25,0,8,1,0,8,1,17.8,8,1,19.5,8,1,15.5,8,1,,0,,0,1,ìÏìå,8,1,0.2,8,1,,0,1,,0,1
1982/9/26,0,8,1,0,8,1,20.5,8,1,24.5,8,1,15.5,8,1,,0,,0,1,ìÏêº,8,1,5.6,8,1,,0,1,,0,1
1982/9/27,7,8,1,2,8,1,18.5,8,1,23.6,8,1,14.5,8,1,,0,,0,1,êºñkêº,8,1,3.7,8,1,,0,1,,0,1
1982/9/28,0,8,1,0,8,1,14.9,8,1,19.7,8,1,9.9,8,1,,0,,0,1,ìÏêº,8,1,5.5,8,1,,0,1,,0,1
1982/9/29,0,8,1,0,8,1,13.2,8,1,18.8,8,1,7.6,8,1,,0,,0,1,ìÏìÏêº,8,1,2.1,8,1,,0,1,,0,1
1982/9/30,0,8,1,0,8,1,12.1,8,1,19.1,8,1,5.1,8,1,,0,,0,1,ìå,8,1,8.3,8,1,,0,1,,0,1
1982/10/1,0,8,1,0,8,1,13.1,8,1,20.7,8,1,7.4,8,1,,0,,0,1,ìå,8,1,9.3,8,1,,0,1,,0,1
1982/10/2,0,8,1,0,8,1,13.6,8,1,19.1,8,1,5.5,8,1,,0,,0,1,ñkìå,8,1,4.7,8,1,,0,1,,0,1
1982/10/3,4,8,1,1,8,1,13.6,8,1,20.3,8,1,5.1,8,1,,0,,0,1,ñk,8,1,8.0,8,1,,0,1,,0,1
1982/10/4,27,8,1,18,8,1,10.9,8,1,17.9,8,1,5.8,8,1,,0,,0,1,ìåìÏìå,8,1,4.6,8,1,,0,1,,0,1
1982/10/5,0,8,1,0,8,1,9.8,8,1,17.5,8,1,2.6,8,1,,0,,0,1,ìå,8,1,9.2,8,1,,0,1,,0,1
1982/10/6,0,8,1,0,8,1,10.8,8,1,16.6,8,1,5.7,8,1,,0,,0,1,ìå,8,1,1.9,8,1,,0,1,,0,1
1982/10/7,0,8,1,0,8,1,9.6,8,1,19.0,8,1,1.7,8,1,,0,,0,1,ñkìå,8,1,10.1,8,1,,0,1,,0,1
1982/10/8,0,8,1,0,8,1,10.7,8,1,16.4,8,1,3.5,8,1,,0,,0,1,ìå,8,1,0.3,8,1,,0,1,,0,1
1982/10/9,0,8,1,0,8,1,11.4,8,1,15.3,8,1,8.2,8,1,,0,,0,1,ñk,8,1,0.2,8,1,,0,1,,0,1
1982/10/10,0,8,1,0,8,1,9.3,8,1,16.2,8,1,2.3,8,1,,0,,0,1,ìå,8,1,7.4,8,1,,0,1,,0,1
1982/10/11,0,8,1,0,8,1,12.3,8,1,17.1,8,1,5.9,8,1,,0,,0,1,ìÏêº,8,1,1.6,8,1,,0,1,,0,1
1982/10/12,0,8,1,0,8,1,13.0,8,1,19.7,8,1,7.7,8,1,,0,,0,1,ìåñkìå,8,1,5.8,8,1,,0,1,,0,1
1982/10/13,0,8,1,0,8,1,11.8,8,1,20.4,8,1,5.2,8,1,,0,,0,1,ìåñkìå,8,1,7.9,8,1,,0,1,,0,1
1982/10/14,0,8,1,0,8,1,11.3,8,1,21.1,8,1,4.0,8,1,,0,,0,1,ìå,8,1,9.5,8,1,,0,1,,0,1
1982/10/15,0,8,1,0,8,1,12.7,8,1,20.3,8,1,5.4,8,1,,0,,0,1,ìå,8,1,4.3,8,1,,0,1,,0,1
1982/10/16,22,8,1,7,8,1,10.4,8,1,14.1,8,1,7.3,8,1,,0,,0,1,ìÏìÏêº,8,1,0.0,8,1,,0,1,,0,1
1982/10/17,0,8,1,0,8,1,7.9,8,1,12.4,8,1,2.5,8,1,,0,,0,1,ìåñkìå,8,1,7.8,8,1,,0,1,,0,1
1982/10/18,0,8,1,0,8,1,11.9,8,1,17.0,8,1,8.4,8,1,,0,,0,1,ìÏêº,8,1,7.9,8,1,,0,1,,0,1
1982/10/19,3,8,1,1,8,1,15.4,8,1,18.7,8,1,7.0,8,1,,0,,0,1,ìÏ,8,1,4.8,8,1,,0,1,,0,1
1982/10/20,45,8,1,7,8,1,15.4,8,1,17.7,8,1,13.2,8,1,,0,,0,1,ñkñkêº,8,1,0.1,8,1,,0,1,,0,1
1982/10/21,1,8,1,1,8,1,11.4,8,1,15.5,8,1,3.7,8,1,,0,,0,1,ìåñkìå,8,1,4.9,8,1,,0,1,,0,1
1982/10/22,0,8,1,0,8,1,7.8,8,1,17.6,8,1,0.3,8,1,,0,,0,1,êºñkêº,8,1,9.6,8,1,,0,1,,0,1
1982/10/23,1,8,1,1,8,1,8.2,8,1,15.4,8,1,2.0,8,1,,0,,0,1,ìå,8,1,6.2,8,1,,0,1,,0,1
1982/10/24,21,8,1,5,8,1,9.9,8,1,13.4,8,1,6.4,8,1,,0,,0,1,ñkìå,8,1,0.0,8,1,,0,1,,0,1
1982/10/25,34,8,1,5,8,1,4.3,8,1,5.6,8,1,2.6,8,1,,0,,0,1,êºñkêº,8,1,1.9,8,1,,0,1,,0,1
1982/10/26,5,8,1,1,8,1,7.5,8,1,9.6,8,1,4.4,8,1,,0,,0,1,êºñkêº,8,1,3.8,8,1,,0,1,,0,1
1982/10/27,0,8,1,0,8,1,9.4,8,1,15.9,8,1,1.4,8,1,,0,,0,1,ñk,8,1,7.1,8,1,,0,1,,0,1
1982/10/28,0,8,1,0,8,1,6.4,8,1,15.0,8,1,-0.2,8,1,,0,,0,1,ìå,8,1,9.2,8,1,,0,1,,0,1
1982/10/29,0,8,1,0,8,1,6.9,8,1,15.2,8,1,1.2,8,1,,0,,0,1,ìåìÏìå,8,1,4.1,8,1,,0,1,,0,1
1982/10/30,0,8,1,0,8,1,8.8,8,1,17.8,8,1,0.8,8,1,,0,,0,1,ìÏêº,8,1,9.3,8,1,,0,1,,0,1
